day_id,dpt_cty_cd,arrv_cty_cd,dpt_airpt_cd,arrv_airpt_cd,carr_cd,flt_nbr,cls_cd,sub_cls_cd,flt_rte_cd,flt_seg_dpt_hh,flt_seg_dpt_mm,flt_seg_arrv_dt,flt_seg_arrv_hh,flt_seg_arrv_mm,flt_seg_seq_nbr,aircrft_typ,flt_seg_dstnc,leg_qty,cls_cpc_qty,pax_qty,fc_pax_qty,grp_pax_qty,ffp_pax_qty,net_amt,y_fr_amt
2012/8/26,FCE,CDE,ABA,CCE,BE,1457,Y,G,ABA-CCE,19,5,2012/8/26,20,55,12,738,942,1,0,0,0,0,0,,1080
2012/10/18,CEG,BBE,EAD,EGG,AE,1605,Y,X,EAD-EGG-GEA,14,25,2012/10/18,16,55,12,319,1427,2,0,0,0,0,0,,1490
2012/7/30,ACG,BCE,CBG,CCC,ED,1999,Y,U,CBG-FBB-CCC,8,0,2012/7/30,11,30,13,738,1328,2,0,0,0,0,0,,1800
2012/9/6,AFG,GDF,FBD,BEF,AF,1580,Y,Q,AEA-FBD-BEF,11,20,2012/9/6,12,55,23,E90,892,2,0,16,0,0,1,627.19,1040
2012/8/14,ACG,DCF,CBG,GEG,AC,1509,Y,G,CBG-AEF-GEG,12,5,2012/8/14,15,25,13,738,1232,2,0,0,0,0,0,,1380
2012/5/16,BCE,BCF,CCC,GAG,AF,1774,Y,I,CCC-GAG,15,40,2012/5/16,16,30,12,190,444,1,0,0,0,0,0,234.62,1150
2012/8/20,CEG,ACC,ABF,FBB,EG,1186,F,F,ABF-FBB,20,20,2012/8/20,23,0,12,320,1557,1,8,0,0,0,0,3187.86,1600
2012/6/3,FBD,CFC,DAD,GAD,ED,1991,Y,N,DAD-GAD,10,20,2012/6/3,11,20,12,73G,667,1,0,0,0,0,0,,1460
2012/10/5,EDG,BBE,ABD,EGG,DD,1439,Y,Z,CCA-ABD-EGG,20,0,2012/10/5,22,5,23,CR2,1174,2,0,0,0,0,0,,1480
2012/5/12,AEC,FAC,FAC,DAE,FB,1602,Y,K,FAC-DAE,13,55,2012/5/12,15,45,12,319,1018,1,0,0,0,0,0,482.24,1350
2012/8/16,GCC,CEG,FEC,EAD,CG,1106,Y,L,FEC-EAD,18,30,2012/8/16,20,50,12,320,1186,1,0,0,0,0,0,1065.64,1280
2012/6/15,CFC,FBF,GAD,BEC,ED,1673,Y,N,GAD-BEC-EED,18,20,2012/6/15,22,40,12,738,3306,2,0,28,0,28,0,,2860
2012/6/22,GFG,BDC,ACD,BEB,AD,1443,Y,T,ACD-DFB-BEB,12,55,2012/6/22,17,10,13,738,2248,2,0,0,0,0,0,,2300
2012/9/4,EEA,ADB,DEA,AEF,ED,1387,Y,X,FCD-DEA-AEF,18,25,2012/9/4,21,50,23,319,1968,2,0,0,0,0,0,828.32,2040
2012/7/26,CGE,ACF,ECD,BCD,AC,1338,Y,N,BEF-ECD-BCD,15,20,2012/7/26,17,45,23,738,1680,2,0,0,0,0,0,,1650
2012/6/11,ACG,ACC,CBG,FBB,ED,1999,Y,L,CBG-FBB-CCC,8,0,2012/6/11,9,0,12,738,469,2,0,16,0,0,8,387.01,650
2012/6/10,CEG,EEA,ABF,DEA,ED,1097,Y,X,ABF-DEA,22,10,2012/6/10,23,55,12,321,880,1,0,10,0,0,0,428.53,1060
2012/9/16,BFA,ACG,FBF,CBG,FB,1278,Y,Q,BCD-FBF-CBG,12,10,2012/9/16,13,45,23,321,1099,2,0,0,0,0,0,,1090
2012/9/25,CDE,GGB,FFE,CDC,ED,1552,C,C,FFE-CDC-CCD,10,30,2012/9/25,12,30,12,321,959,2,0,0,0,0,0,,1130
2012/8/2,GFG,DGC,ACD,ACC,CG,1071,Y,I,AAC-ACD-ACC,20,5,2012/8/2,20,55,23,733,323,2,0,0,0,0,0,,1150
2012/8/9,EDF,BCE,FCE,CCC,CG,1084,Y,V,FCE-CCC-ACD,16,40,2012/8/9,19,25,12,320,1525,2,0,0,0,0,0,,1500
2012/10/14,BCE,ACF,CCC,BCD,CG,1559,Y,V,FAC-CCC-BCD,13,45,2012/10/14,16,40,23,737,1943,2,0,19,0,0,6,856.55,1680
2012/10/15,GDF,CEG,BEF,EAD,AC,1440,Y,W,BEF-EAD,18,0,2012/10/15,19,25,12,738,814,1,0,25,0,0,2,554.73,960
2012/5/2,AEC,EDG,FAC,ABD,FB,1723,Y,Q,FAC-ABD-FCE,7,30,2012/5/2,9,30,12,320,1175,2,0,0,0,0,0,,1250
2012/9/19,CAD,GDF,EDB,BEF,CG,1625,Y,U,EDB-BEF,13,25,2012/9/19,14,40,12,320,819,1,0,0,0,0,0,,860
2012/6/29,AFA,CGE,CED,ECD,CG,1153,Y,X,CED-ECD,23,55,2012/6/30,1,55,12,321,1780,1,0,0,0,0,0,,1830
2012/9/9,DBF,CFC,DFB,GAD,AD,1375,Y,R,DFB-BFF-GAD,8,40,2012/9/9,14,25,13,738,2632,2,0,0,0,0,0,,2380
2012/8/10,FAC,BBE,DAE,EGG,EA,1262,Y,K,DAE-ACD-EGG,22,10,2012/8/11,1,10,13,319,1053,2,0,0,0,0,0,1062.55,1360
2012/9/15,AFA,CEG,CED,EAD,CA,1093,Y,M,CED-EAD,13,35,2012/9/15,16,25,12,320,1880,1,0,11,0,0,0,1445.77,1890
2012/8/27,GFG,BCE,ACD,CCC,DF,1527,Y,O,ACD-CCC,22,30,2012/8/28,0,30,12,738,1210,1,0,0,0,0,0,,1280
2012/6/24,CDE,EAG,FFE,CAG,CG,1059,Y,S,FFE-CAG,11,25,2012/6/24,13,35,12,320,1259,1,0,7,0,0,1,628.67,1300
2012/8/6,GCC,EDF,FEC,FCE,ED,1002,Y,Q,FEC-FCE,14,50,2012/8/6,18,35,12,320,2249,1,0,4,0,0,0,1315.69,2310
2012/8/5,DEF,GCC,ECE,FEC,DF,1241,Y,Y,ECE-FEC,8,0,2012/8/5,10,0,12,738,1091,1,155,5,0,0,0,1158.96,1190
2012/8/15,AEC,EEF,FAC,CFA,AC,1028,Y,B,FAC-FBF-CFA,20,25,2012/8/15,23,55,13,738,1581,2,0,1,0,0,0,1464.66,1650
2012/5/27,CBF,AEC,GEA,FAC,FB,1019,Y,M,GEA-FAC,9,5,2012/5/27,11,0,12,319,1273,1,0,0,0,0,0,1086.53,1500
2012/6/23,CDE,AEB,FFE,CGC,AF,1622,Y,M,FFE-CGC,6,50,2012/6/23,8,35,12,E90,1067,1,0,7,0,0,5,802.01,1100
2012/8/30,CEG,CAG,EAD,AEA,CG,1754,Y,W,EAD-AEA,13,10,2012/8/30,15,5,12,320,963,1,0,0,0,0,0,294.12,1030
2012/10/6,CDE,EAG,FFE,CAG,CG,1059,Y,Y,FFE-CAG,11,25,2012/10/6,13,35,12,320,1259,1,148,19,0,0,3,1224.93,1300
2012/8/3,ADB,BCE,AEF,CCC,CG,1319,Y,Q,AEF-EFC-CCC,12,20,2012/8/3,15,50,13,319,1412,2,0,5,0,0,3,512.65,1630
2012/7/13,EFG,CAG,GCB,AEA,AF,1018,Y,W,BFF-GCB-AEA,19,45,2012/7/13,20,45,23,ERJ,448,2,0,0,0,0,0,,540
2012/8/26,FCE,CDE,ABA,CCE,BE,1457,Y,U,ABA-CCE,19,5,2012/8/26,20,55,12,738,942,1,0,0,0,0,0,,1080
2012/10/18,CEG,BBE,EAD,EGG,AE,1605,Y,G,EAD-EGG-GEA,14,25,2012/10/18,16,55,12,319,1427,2,0,22,0,0,5,732.25,1490
2012/7/30,ACG,BCE,CBG,CCC,ED,1999,Y,E,CBG-FBB-CCC,8,0,2012/7/30,11,30,13,738,1328,2,0,0,0,0,0,846.62,1800
2012/6/7,CDE,EFF,FFE,FCD,DF,1557,F,F,FFE-FCD,13,30,2012/6/7,15,35,12,738,878,1,8,7,7,0,4,2241.29,960
2012/8/14,ACG,DCF,CBG,GEG,AC,1509,Y,I,CBG-AEF-GEG,12,5,2012/8/14,15,25,13,738,1232,2,0,0,0,0,0,832.96,1380
2012/5/16,BCE,BCF,CCC,GAG,AF,1774,Y,Q,CCC-GAG,15,40,2012/5/16,16,30,12,190,444,1,0,17,0,0,7,671.2,1150
2012/8/20,CEG,ACC,ABF,FBB,EG,1186,F,O,ABF-FBB,20,20,2012/8/20,23,0,12,320,1557,1,0,0,0,0,0,,1600
2012/6/3,FBD,CFC,DAD,GAD,ED,1991,Y,L,DAD-GAD,10,20,2012/6/3,11,20,12,73G,667,1,0,4,0,0,1,905.6,1460
2012/10/5,EDG,BBE,ABD,EGG,DD,1439,Y,V,CCA-ABD-EGG,20,0,2012/10/5,22,5,23,CR2,1174,2,0,0,0,0,0,,1480
2012/5/12,AEC,FAC,FAC,DAE,FB,1602,Y,I,FAC-DAE,13,55,2012/5/12,15,45,12,319,1018,1,0,0,0,0,0,416.99,1350
2012/8/16,GCC,CEG,FEC,EAD,CG,1106,Y,S,FEC-EAD,18,30,2012/8/16,20,50,12,320,1186,1,0,0,0,0,0,848.91,1280
2012/6/15,CFC,FBF,GAD,BEC,ED,1673,Y,M,GAD-BEC-EED,18,20,2012/6/15,22,40,12,738,3306,2,0,14,0,0,2,2186.59,2860
2012/6/22,GFG,BDC,ACD,BEB,AD,1443,Y,M,ACD-DFB-BEB,12,55,2012/6/22,17,10,13,738,2248,2,0,0,0,0,0,1928.47,2300
2012/9/4,EEA,ADB,DEA,AEF,ED,1387,Y,V,FCD-DEA-AEF,18,25,2012/9/4,21,50,23,319,1968,2,0,0,0,0,0,913.14,2040
2012/7/26,CGE,ACF,ECD,BCD,AC,1338,Y,G,BEF-ECD-BCD,15,20,2012/7/26,17,45,23,738,1680,2,0,0,0,0,0,,1650
2012/6/11,ACG,ACC,CBG,FBB,ED,1999,Y,R,CBG-FBB-CCC,8,0,2012/6/11,9,0,12,738,469,2,0,0,0,0,0,,650
2012/6/10,CEG,EEA,ABF,DEA,ED,1097,Y,U,ABF-DEA,22,10,2012/6/10,23,55,12,321,880,1,0,0,0,0,0,721.79,1060
2012/9/16,BFA,ACG,FBF,CBG,FB,1278,Y,D,BCD-FBF-CBG,12,10,2012/9/16,13,45,23,321,1099,2,0,0,0,0,0,,1090
2012/7/14,BBE,BDC,EGG,BEB,AD,1708,Y,T,EGG-ECD-BEB,12,25,2012/7/14,16,20,13,733,1617,2,0,0,0,0,0,,1700
2012/8/2,GFG,DGC,ACD,ACC,CG,1071,Y,G,AAC-ACD-ACC,20,5,2012/8/2,20,55,23,733,323,2,0,0,0,0,0,,1150
2012/8/9,EDF,BCE,FCE,CCC,CG,1084,Y,B,FCE-CCC-ACD,16,40,2012/8/9,19,25,12,320,1525,2,0,2,0,0,0,1356.32,1500
2012/10/14,BCE,ACF,CCC,BCD,CG,1559,Y,L,FAC-CCC-BCD,13,45,2012/10/14,16,40,23,737,1943,2,0,1,0,0,1,,1680
2012/10/15,GDF,CEG,BEF,EAD,AC,1440,Y,U,BEF-EAD,18,0,2012/10/15,19,25,12,738,814,1,0,0,0,0,0,,960
2012/5/2,AEC,EDG,FAC,ABD,FB,1723,Y,U,FAC-ABD-FCE,7,30,2012/5/2,9,30,12,320,1175,2,0,0,0,0,0,,1250
2012/9/19,CAD,GDF,EDB,BEF,CG,1625,Y,N,EDB-BEF,13,25,2012/9/19,14,40,12,320,819,1,0,0,0,0,0,550.21,860
2012/6/29,AFA,CGE,CED,ECD,CG,1153,Y,W,CED-ECD,23,55,2012/6/30,1,55,12,321,1780,1,0,8,0,0,2,726.02,1830
2012/9/9,DBF,CFC,DFB,GAD,AD,1375,Y,Y,DFB-BFF-GAD,8,40,2012/9/9,14,25,13,738,2632,2,159,46,0,0,8,2412.73,2380
2012/8/10,FAC,BBE,DAE,EGG,EA,1262,Y,H,DAE-ACD-EGG,22,10,2012/8/11,1,10,13,319,1053,2,0,0,0,0,0,1108.17,1360
2012/9/15,AFA,CEG,CED,EAD,CA,1093,Y,S,CED-EAD,13,35,2012/9/15,16,25,12,320,1880,1,0,0,0,0,0,,1890
2012/8/27,GFG,BCE,ACD,CCC,DF,1527,Y,U,ACD-CCC,22,30,2012/8/28,0,30,12,738,1210,1,0,0,0,0,0,,1280
2012/6/24,CDE,EAG,FFE,CAG,CG,1059,Y,Q,FFE-CAG,11,25,2012/6/24,13,35,12,320,1259,1,0,0,0,0,0,486.91,1300
2012/8/6,GCC,EDF,FEC,FCE,ED,1002,Y,O,FEC-FCE,14,50,2012/8/6,18,35,12,320,2249,1,0,2,0,0,1,,2310
2012/8/5,DEF,GCC,ECE,FEC,DF,1241,Y,L,ECE-FEC,8,0,2012/8/5,10,0,12,738,1091,1,0,2,0,0,1,886.63,1190
2012/8/15,AEC,EEF,FAC,CFA,AC,1028,Y,T,FAC-FBF-CFA,20,25,2012/8/15,23,55,13,738,1581,2,0,0,0,0,0,,1650
2012/5/27,CBF,AEC,GEA,FAC,FB,1019,Y,T,GEA-FAC,9,5,2012/5/27,11,0,12,319,1273,1,0,19,0,0,3,1296.58,1500
2012/9/22,ACF,ADB,BCD,AEF,CF,1292,Y,L,BCD-AEF,14,5,2012/9/22,18,25,12,738,2803,1,0,46,0,0,14,1649.66,2460
2012/8/30,CEG,CAG,EAD,AEA,CG,1754,Y,M,EAD-AEA,13,10,2012/8/30,15,5,12,320,963,1,0,0,0,0,0,804.68,1030
2012/10/6,CDE,EAG,FFE,CAG,CG,1059,Y,V,FFE-CAG,11,25,2012/10/6,13,35,12,320,1259,1,0,0,0,0,0,591.08,1300
2012/8/3,ADB,BCE,AEF,CCC,CG,1319,Y,N,AEF-EFC-CCC,12,20,2012/8/3,15,50,13,319,1412,2,0,0,0,0,0,1060.15,1630
2012/7/13,EFG,CAG,GCB,AEA,AF,1018,Y,H,BFF-GCB-AEA,19,45,2012/7/13,20,45,23,ERJ,448,2,0,0,0,0,0,,540
2012/8/26,FCE,CDE,ABA,CCE,BE,1457,Y,M,ABA-CCE,19,5,2012/8/26,20,55,12,738,942,1,0,0,0,0,0,,1080
2012/10/18,CEG,BBE,EAD,EGG,AE,1605,Y,R,EAD-EGG-GEA,14,25,2012/10/18,16,55,12,319,1427,2,0,22,0,0,3,584.22,1490
2012/7/30,ACG,BCE,CBG,CCC,ED,1999,Y,Y,CBG-FBB-CCC,8,0,2012/7/30,11,30,13,738,1328,2,132,1,0,0,0,1786.11,1800
2012/6/7,CDE,EFF,FFE,FCD,DF,1557,F,P,FFE-FCD,13,30,2012/6/7,15,35,12,738,878,1,0,0,0,0,0,,960
2012/8/14,ACG,DCF,CBG,GEG,AC,1509,Y,V,CBG-AEF-GEG,12,5,2012/8/14,15,25,13,738,1232,2,0,0,0,0,0,678.76,1380
2012/5/16,BCE,BCF,CCC,GAG,AF,1774,Y,O,CCC-GAG,15,40,2012/5/16,16,30,12,190,444,1,0,1,0,0,0,250.65,1150
2012/5/23,AEC,DEF,FAC,ECE,CG,1748,Y,U,FAC-ECE,9,10,2012/5/23,11,35,12,738,1694,1,0,0,0,0,0,391.1,1540
2012/6/3,FBD,CFC,DAD,GAD,ED,1991,Y,K,DAD-GAD,10,20,2012/6/3,11,20,12,73G,667,1,0,0,0,0,0,1122.73,1460
2012/10/5,EDG,BBE,ABD,EGG,DD,1439,Y,P,CCA-ABD-EGG,20,0,2012/10/5,22,5,23,CR2,1174,2,0,0,0,0,0,1428.61,1480
2012/5/12,AEC,FAC,FAC,DAE,FB,1602,Y,P,FAC-DAE,13,55,2012/5/12,15,45,12,319,1018,1,0,0,0,0,0,,1350
2012/8/16,GCC,CEG,FEC,EAD,CG,1106,Y,M,FEC-EAD,18,30,2012/8/16,20,50,12,320,1186,1,0,2,0,0,0,957.5,1280
2012/6/15,CFC,FBF,GAD,BEC,ED,1673,Y,T,GAD-BEC-EED,18,20,2012/6/15,22,40,12,738,3306,2,0,0,0,0,0,,2860
2012/6/22,GFG,BDC,ACD,BEB,AD,1443,Y,E,ACD-DFB-BEB,12,55,2012/6/22,17,10,13,738,2248,2,0,0,0,0,0,,2300
2012/9/4,EEA,ADB,DEA,AEF,ED,1387,Y,Y,FCD-DEA-AEF,18,25,2012/9/4,21,50,23,319,1968,2,90,2,0,0,0,1895.91,2040
2012/7/26,CGE,ACF,ECD,BCD,AC,1338,Y,O,BEF-ECD-BCD,15,20,2012/7/26,17,45,23,738,1680,2,0,0,0,0,0,,1650
2012/6/11,ACG,ACC,CBG,FBB,ED,1999,Y,E,CBG-FBB-CCC,8,0,2012/6/11,9,0,12,738,469,2,0,0,0,0,0,338.27,650
2012/6/10,CEG,EEA,ABF,DEA,ED,1097,Y,S,ABF-DEA,22,10,2012/6/10,23,55,12,321,880,1,0,0,0,0,0,682.51,1060
2012/9/16,BFA,ACG,FBF,CBG,FB,1278,Y,Z,BCD-FBF-CBG,12,10,2012/9/16,13,45,23,321,1099,2,0,0,0,0,0,,1090
2012/7/14,BBE,BDC,EGG,BEB,AD,1708,Y,X,EGG-ECD-BEB,12,25,2012/7/14,16,20,13,733,1617,2,0,0,0,0,0,,1700
2012/8/2,GFG,DGC,ACD,ACC,CG,1071,Y,U,AAC-ACD-ACC,20,5,2012/8/2,20,55,23,733,323,2,0,0,0,0,0,498.87,1150
2012/8/9,EDF,BCE,FCE,CCC,CG,1084,Y,E,FCE-CCC-ACD,16,40,2012/8/9,19,25,12,320,1525,2,0,2,0,0,1,1206.47,1500
